"","country","year","upop"
"2676","Switzerland","X1970",57.368
"2677","Channel Islands","X1970",36.088
"2678","Chile","X1970",75.227
"2679","China","X1970",17.4
"2680","Cote d'Ivoire","X1970",28.163
"2681","Cameroon","X1970",20.3
"2682","Congo, Rep.","X1970",39.129
"2683","Colombia","X1970",54.82
"2684","Comoros","X1970",19.39
"2685","Cabo Verde","X1970",19.559
"2686","Costa Rica","X1970",38.827
"2687","Caribbean small states","X1970",34.26354751
"2688","Cuba","X1970",60.266
"2689","Curacao","X1970",78.448
"2690","Cayman Islands","X1970",100
"2691","Cyprus","X1970",40.761
"2692","Czech Republic","X1970",64.402
"2693","Germany","X1970",72.274
"2694","Djibouti","X1970",61.777
"2695","Dominica","X1970",38.683
"2696","Denmark","X1970",79.737
"2697","Dominican Republic","X1970",40.209
"2698","Algeria","X1970",39.5
"2699","East Asia & Pacific (excluding high income)","X1970",18.7748809
"2700","Early-demographic dividend","X1970",26.34417883
"2701","East Asia & Pacific","X1970",24.84119959
"2702","Europe & Central Asia (excluding high income)","X1970",52.32608014
"2703","Europe & Central Asia","X1970",60.77796936
"2704","Ecuador","X1970",39.278
"2705","Egypt, Arab Rep.","X1970",41.477
"2706","Euro area","X1970",67.14731083
"2707","Eritrea","X1970",12.593
"2708","Spain","X1970",66.038
"2709","Estonia","X1970",64.947
"2710","Ethiopia","X1970",8.588
"2711","European Union","X1970",65.67689353
"2712","Fragile and conflict affected situations","X1970",23.24712363
"2713","Finland","X1970",63.704
"2714","Fiji","X1970",34.758
"2715","France","X1970",71.055
"2716","Faroe Islands","X1970",27.951
"2717","Micronesia, Fed. Sts.","X1970",24.808
"2718","Gabon","X1970",32
"2719","United Kingdom","X1970",77.117
"2720","Georgia","X1970",48.006
"2721","Ghana","X1970",28.958
"2722","Gibraltar","X1970",100
"2723","Guinea","X1970",15.977
"2724","Gambia, The","X1970",19.496
"2725","Guinea-Bissau","X1970",15.132
"2726","Equatorial Guinea","X1970",26.954
"2727","Greece","X1970",64.22
"2728","Grenada","X1970",32.212
"2729","Greenland","X1970",72.744
"2730","Guatemala","X1970",35.545
"2731","Guam","X1970",61.92
"2732","Guyana","X1970",29.425
"2733","High income","X1970",68.92544639
"2734","Hong Kong SAR, China","X1970",87.729
"2735","Honduras","X1970",28.902
"2736","Heavily indebted poor countries (HIPC)","X1970",16.24242275
"2737","Croatia","X1970",40.196
"2738","Haiti","X1970",19.762
"2739","Hungary","X1970",60.112
"2740","IBRD only","X1970",29.62105684
"2741","IDA & IBRD total","X1970",27.23881951
"2742","IDA total","X1970",17.14556764
"2743","IDA blend","X1970",22.03529944
"2744","Indonesia","X1970",17.071
"2745","IDA only","X1970",14.15491648
"2746","Isle of Man","X1970",55.831
"2747","India","X1970",19.76
"2748","Not classified","X1970",NA
"2749","Ireland","X1970",51.722
"2750","Iran, Islamic Rep.","X1970",41.212
"2751","Iraq","X1970",56.154
"2752","Iceland","X1970",84.9
"2753","Israel","X1970",84.195
"2754","Italy","X1970",64.272
"2755","Jamaica","X1970",41.324
"2756","Jordan","X1970",55.971
"2757","Japan","X1970",71.877
"2758","Kazakhstan","X1970",50.236
"2759","Kenya","X1970",10.295
"2760","Kyrgyz Republic","X1970",37.466
"2761","Cambodia","X1970",15.97
"2762","Kiribati","X1970",24.088
"2763","St. Kitts and Nevis","X1970",34.141
"2764","Korea, Rep.","X1970",40.704
"2765","Kosovo","X1970",NA
"2766","Kuwait","X1970",85.661
"2767","Latin America & Caribbean (excluding high income)","X1970",54.09158032
"2768","Lao PDR","X1970",9.625
"2769","Lebanon","X1970",59.475
"2770","Liberia","X1970",26.025
"2771","Libya","X1970",49.671
"2772","St. Lucia","X1970",23.907
"2773","Latin America & Caribbean","X1970",57.03729887
"2774","Least developed countries: UN classification","X1970",12.80703954
"2775","Low income","X1970",15.54709102
"2776","Liechtenstein","X1970",18.453
"2777","Sri Lanka","X1970",19.514
"2778","Lower middle income","X1970",22.46426353
"2779","Low & middle income","X1970",26.51545547
"2780","Lesotho","X1970",8.608
"2781","Late-demographic dividend","X1970",29.39976829
"2782","Lithuania","X1970",49.555
"2783","Luxembourg","X1970",74.374
"2784","Latvia","X1970",60.713
"2785","Macao SAR, China","X1970",97.032
"2786","St. Martin (French part)","X1970",NA
"2787","Morocco","X1970",34.477
"2788","Monaco","X1970",100
"2789","Moldova","X1970",32.068
"2790","Madagascar","X1970",14.1
"2791","Maldives","X1970",11.893
"2792","Middle East & North Africa","X1970",42.65058034
"2793","Mexico","X1970",59.021
"2794","Marshall Islands","X1970",53.492
"2795","Middle income","X1970",27.33736674
"2796","Macedonia, FYR","X1970",47.079
"2797","Mali","X1970",14.33
"2798","Malta","X1970",89.699
"2799","Myanmar","X1970",22.83
"2800","Middle East & North Africa (excluding high income)","X1970",40.94142178
"2801","Montenegro","X1970",26.853
"2802","Mongolia","X1970",45.052
"2803","Northern Mariana Islands","X1970",70.062
"2804","Mozambique","X1970",6.979
"2805","Mauritania","X1970",14.564
"2806","Mauritius","X1970",42.032
"2807","Malawi","X1970",6.053
"2808","Malaysia","X1970",33.454
"2809","North America","X1970",73.8016579
"2810","Namibia","X1970",22.292
"2811","New Caledonia","X1970",51.232
"2812","Niger","X1970",8.794
"2813","Nigeria","X1970",17.76
"2814","Nicaragua","X1970",47.03
"2815","Netherlands","X1970",61.663
"2816","Norway","X1970",65.396
"2817","Nepal","X1970",3.956
"2818","Nauru","X1970",100
"2819","New Zealand","X1970",81.106
"2820","OECD members","X1970",67.44593364
"2821","Oman","X1970",29.665
"2822","Other small states","X1970",32.49818709
"2823","Pakistan","X1970",24.817
"2824","Panama","X1970",47.64
"2825","Peru","X1970",57.406
"2826","Philippines","X1970",32.979
"2827","Palau","X1970",59.715
"2828","Papua New Guinea","X1970",9.796
"2829","Poland","X1970",52.125
"2830","Pre-demographic dividend","X1970",17.47148961
"2831","Puerto Rico","X1970",58.328
"2832","Korea, Dem. People‰Ûªs Rep.","X1970",54.2
"2833","Portugal","X1970",38.804
"2834","Paraguay","X1970",37.065
"2835","Pacific island small states","X1970",26.50565375
"2836","Post-demographic dividend","X1970",68.42705184
"2837","French Polynesia","X1970",55.162
"2838","Qatar","X1970",88.354
"2839","Romania","X1970",40.319
"2840","Russian Federation","X1970",62.471
"2841","Rwanda","X1970",3.194
"2842","South Asia","X1970",18.6569274
"2843","Saudi Arabia","X1970",48.669
"2844","Sudan","X1970",16.523
"2845","Senegal","X1970",30
"2846","Singapore","X1970",100
"2847","Solomon Islands","X1970",8.917
"2848","Sierra Leone","X1970",23.969
"2849","El Salvador","X1970",39.402
"2850","San Marino","X1970",59.8
"2851","Somalia","X1970",22.678
"2852","Serbia","X1970",NA
"2853","Sub-Saharan Africa (excluding high income)","X1970",18.02727369
"2854","South Sudan","X1970",8.633
"2855","Sub-Saharan Africa","X1970",18.03113731
"2856","Small states","X1970",32.59845777
"2857","Sao Tome and Principe","X1970",29.518
"2858","Suriname","X1970",45.948
"2859","Slovak Republic","X1970",41.057
"2860","Slovenia","X1970",37.004
"2861","Sweden","X1970",81.034
"2862","Swaziland","X1970",9.705
"2863","Sint Maarten (Dutch part)","X1970",100
"2864","Seychelles","X1970",39.068
"2865","Syrian Arab Republic","X1970",43.345
"2866","Turks and Caicos Islands","X1970",51.106
"2867","Chad","X1970",11.568
"2868","East Asia & Pacific (IDA & IBRD countries)","X1970",18.3107657
"2869","Europe & Central Asia (IDA & IBRD countries)","X1970",52.15429849
"2870","Togo","X1970",21.28
"2871","Thailand","X1970",20.889
"2872","Tajikistan","X1970",36.876
"2873","Turkmenistan","X1970",47.78
"2874","Latin America & the Caribbean (IDA & IBRD countries)","X1970",56.92079941
"2875","Middle East & North Africa (IDA & IBRD countries)","X1970",40.94142178
"2876","Timor-Leste","X1970",12.886
"2877","Tonga","X1970",20.187
"2878","South Asia (IDA & IBRD)","X1970",18.6569274
"2879","Sub-Saharan Africa (IDA & IBRD countries)","X1970",18.03113731
"2880","Trinidad and Tobago","X1970",11.876
"2881","Tunisia","X1970",43.482
"2882","Turkey","X1970",38.234
"2883","Tuvalu","X1970",22.081
"2884","Tanzania","X1970",7.852
"2885","Uganda","X1970",6.664
"2886","Ukraine","X1970",54.831
"2887","Upper middle income","X1970",31.41090229
"2888","Uruguay","X1970",82.368
"2889","United States","X1970",73.602
"2890","Uzbekistan","X1970",36.714
"2891","St. Vincent and the Grenadines","X1970",30.683
"2892","Venezuela, RB","X1970",71.852
"2893","British Virgin Islands","X1970",16.635
"2894","Virgin Islands (U.S.)","X1970",69.592
"2895","Vietnam","X1970",18.3
"2896","Vanuatu","X1970",12.325
"2897","West Bank and Gaza","X1970",NA
"2898","World","X1970",36.52917733
"2899","Samoa","X1970",20.353
"2900","Yemen, Rep.","X1970",13.3
"2901","South Africa","X1970",47.809
"2902","Congo, Dem. Rep.","X1970",24.608
"2903","Zambia","X1970",30.351
"2904","Zimbabwe","X1970",17.362
"2905","Aruba","X1971",50.609
"2906","Andorra","X1971",81.78
"2907","Afghanistan","X1971",11.917
"2908","Angola","X1971",15.434
"2909","Albania","X1971",31.933
"2910","Arab World","X1971",39.50206863
"2911","United Arab Emirates","X1971",79.8
"2912","Argentina","X1971",79.321
"2913","Armenia","X1971",60.657
"2914","American Samoa","X1971",70.784
"2915","Antigua and Barbuda","X1971",33.898
"2916","Australia","X1971",85.6
"2917","Austria","X1971",65.301
"2918","Azerbaijan","X1971",50.462
"2919","Burundi","X1971",2.97
"2920","Belgium","X1971",93.976
"2921","Benin","X1971",17.647
"2922","Burkina Faso","X1971",5.861
"2923","Bangladesh","X1971",7.901
"2924","Bulgaria","X1971",53.36
"2925","Bahrain","X1971",84.021
"2926","Bahamas, The","X1971",67.429
"2927","Bosnia and Herzegovina","X1971",28.094
"2928","Belarus","X1971",45.349
"2929","Belize","X1971",50.805
"2930","Bermuda","X1971",100
"2931","Bolivia","X1971",40.082
"2932","Brazil","X1971",56.894
"2933","Barbados","X1971",37.755
"2934","Brunei Darussalam","X1971",63.412
"2935","Bhutan","X1971",6.413
"2936","Botswana","X1971",8.998
"2937","Central African Republic","X1971",28.356
"2938","Canada","X1971",76.09
"2939","Central Europe and the Baltics","X1971",51.42956645
"2940","Switzerland","X1971",57.597
"2941","Channel Islands","X1971",35.803
"2942","Chile","X1971",75.883
"2943","China","X1971",17.292
"2944","Cote d'Ivoire","X1971",28.934
"2945","Cameroon","X1971",21.584
"2946","Congo, Rep.","X1971",39.919
"2947","Colombia","X1971",55.574
"2948","Comoros","X1971",19.75
"2949","Cabo Verde","X1971",19.9
"2950","Costa Rica","X1971",39.445
"2951","Caribbean small states","X1971",34.52920831
"2952","Cuba","X1971",60.976
"2953","Curacao","X1971",78.799
"2954","Cayman Islands","X1971",100
"2955","Cyprus","X1971",41.283
"2956","Czech Republic","X1971",65.295
"2957","Germany","X1971",72.332
"2958","Djibouti","X1971",62.878
"2959","Dominica","X1971",39.47
"2960","Denmark","X1971",80.239
"2961","Dominican Republic","X1971",41.291
"2962","Algeria","X1971",39.665
"2963","East Asia & Pacific (excluding high income)","X1971",18.80793248
"2964","Early-demographic dividend","X1971",26.72475258
"2965","East Asia & Pacific","X1971",24.92157831
"2966","Europe & Central Asia (excluding high income)","X1971",52.99555683
"2967","Europe & Central Asia","X1971",61.24967287
"2968","Ecuador","X1971",39.813
"2969","Egypt, Arab Rep.","X1971",41.838
"2970","Euro area","X1971",67.53307986
"2971","Eritrea","X1971",12.762
"2972","Spain","X1971",66.848
"2973","Estonia","X1971",65.483
"2974","Ethiopia","X1971",8.756
"2975","European Union","X1971",66.05112804
"2976","Fragile and conflict affected situations","X1971",23.82697402
"2977","Finland","X1971",64.523
"2978","Fiji","X1971",35.147
"2979","France","X1971",71.459
"2980","Faroe Islands","X1971",28.417
"2981","Micronesia, Fed. Sts.","X1971",25.068
"2982","Gabon","X1971",34.082
"2983","United Kingdom","X1971",77.03
"2984","Georgia","X1971",48.474
"2985","Ghana","X1971",29.174
"2986","Gibraltar","X1971",100
"2987","Guinea","X1971",16.641
"2988","Gambia, The","X1971",20.63
"2989","Guinea-Bissau","X1971",15.293
"2990","Equatorial Guinea","X1971",27.045
"2991","Greece","X1971",64.951
"2992","Grenada","X1971",32.282
"2993","Greenland","X1971",73.433
"2994","Guatemala","X1971",35.861
"2995","Guam","X1971",67.153
"2996","Guyana","X1971",29.533
"2997","High income","X1971",69.32526684
"2998","Hong Kong SAR, China","X1971",88.039
"2999","Honduras","X1971",29.569
"3000","Heavily indebted poor countries (HIPC)","X1971",16.68350061
"3001","Croatia","X1971",41.242
"3002","Haiti","X1971",20.222
"3003","Hungary","X1971",60.539
"3004","IBRD only","X1971",29.83808138
"3005","IDA & IBRD total","X1971",27.48753766
"3006","IDA total","X1971",17.54318259
"3007","IDA blend","X1971",22.39552406
"3008","Indonesia","X1971",17.338
"3009","IDA only","X1971",14.57674503
"3010","Isle of Man","X1971",55.556
"3011","India","X1971",19.991
"3012","Not classified","X1971",NA
"3013","Ireland","X1971",52.269
"3014","Iran, Islamic Rep.","X1971",42.11
"3015","Iraq","X1971",57.214
"3016","Iceland","X1971",85.269
"3017","Israel","X1971",84.789
"3018","Italy","X1971",64.75
"3019","Jamaica","X1971",41.858
"3020","Jordan","X1971",56.308
"3021","Japan","X1971",72.666
"3022","Kazakhstan","X1971",50.753
"3023","Kenya","X1971",10.778
"3024","Kyrgyz Republic","X1971",37.609
"3025","Cambodia","X1971",18.717
"3026","Kiribati","X1971",25.348
"3027","St. Kitts and Nevis","X1971",34.317
"3028","Korea, Rep.","X1971",42.261
"3029","Kosovo","X1971",NA
"3030","Kuwait","X1971",86.444
"3031","Latin America & Caribbean (excluding high income)","X1971",54.92459112
"3032","Lao PDR","X1971",9.955
"3033","Lebanon","X1971",61.06
"3034","Liberia","X1971",26.86
"3035","Libya","X1971",52.992
"3036","St. Lucia","X1971",24.162
"3037","Latin America & Caribbean","X1971",57.7965754
"3038","Least developed countries: UN classification","X1971",13.2241807
"3039","Low income","X1971",15.90172861
"3040","Liechtenstein","X1971",18.364
"3041","Sri Lanka","X1971",19.91
"3042","Lower middle income","X1971",22.77922291
"3043","Low & middle income","X1971",26.77083031
"3044","Lesotho","X1971",9.039
"3045","Late-demographic dividend","X1971",29.49574309
"3046","Lithuania","X1971",50.719
"3047","Luxembourg","X1971",74.916
"3048","Latvia","X1971",61.433
"3049","Macao SAR, China","X1971",97.208
"3050","St. Martin (French part)","X1971",NA
"3051","Morocco","X1971",35.012
"3052","Monaco","X1971",100
"3053","Moldova","X1971",32.879
"3054","Madagascar","X1971",14.526
"3055","Maldives","X1971",12.842
"3056","Middle East & North Africa","X1971",43.39601579
"3057","Mexico","X1971",59.779
"3058","Marshall Islands","X1971",56.103
"3059","Middle income","X1971",27.58643817
"3060","Macedonia, FYR","X1971",48.246
"3061","Mali","X1971",14.697
"3062","Malta","X1971",89.708
"3063","Myanmar","X1971",23.215
"3064","Middle East & North Africa (excluding high income)","X1971",41.59745153
"3065","Montenegro","X1971",27.769
"3066","Mongolia","X1971",45.77
"3067","Northern Mariana Islands","X1971",72.609
"3068","Mozambique","X1971",7.361
"3069","Mauritania","X1971",15.636
"3070","Mauritius","X1971",43.062
"3071","Malawi","X1971",6.345
"3072","Malaysia","X1971",34.271
"3073","North America","X1971",73.85304381
"3074","Namibia","X1971",22.559
"3075","New Caledonia","X1971",52.022
"3076","Niger","X1971",9.271
"3077","Nigeria","X1971",18.151
"3078","Nicaragua","X1971",47.777
"3079","Netherlands","X1971",61.913
"3080","Norway","X1971",66.23
"3081","Nepal","X1971",4.005
"3082","Nauru","X1971",100
"3083","New Zealand","X1971",81.491
"3084","OECD members","X1971",67.83587732
"3085","Oman","X1971",31.287
"3086","Other small states","X1971",33.11760213
"3087","Pakistan","X1971",25.084
"3088","Panama","X1971",47.919
"3089","Peru","X1971",58.496
"3090","Philippines","X1971",33.493
"3091","Palau","X1971",60.001
"3092","Papua New Guinea","X1971",11.078
"3093","Poland","X1971",52.668
"3094","Pre-demographic dividend","X1971",17.97803303
"3095","Puerto Rico","X1971",59.23
"3096","Korea, Dem. People‰Ûªs Rep.","X1971",54.702
"3097","Portugal","X1971",39.197
"3098","Paraguay","X1971",37.23
"3099","Pacific island small states","X1971",26.83056185
"3100","Post-demographic dividend","X1971",68.83894866
"3101","French Polynesia","X1971",56.203
"3102","Qatar","X1971",88.6
"3103","Romania","X1971",40.818
"3104","Russian Federation","X1971",63.278
"3105","Rwanda","X1971",3.336
"3106","South Asia","X1971",18.9043813
"3107","Saudi Arabia","X1971",50.688
"3108","Sudan","X1971",17.22
"3109","Senegal","X1971",30.72
"3110","Singapore","X1971",100
"3111","Solomon Islands","X1971",8.958
"3112","Sierra Leone","X1971",24.737
"3113","El Salvador","X1971",39.504
"3114","San Marino","X1971",62.281
"3115","Somalia","X1971",23.251
"3116","Serbia","X1971",NA
"3117","Sub-Saharan Africa (excluding high income)","X1971",18.42450747
"3118","South Sudan","X1971",8.622
"3119","Sub-Saharan Africa","X1971",18.42851834
"3120","Small states","X1971",33.09284737
"3121","Sao Tome and Principe","X1971",30.205
"3122","Suriname","X1971",45.716
"3123","Slovak Republic","X1971",42.009
"3124","Slovenia","X1971",37.972
"3125","Sweden","X1971",81.563
"3126","Swaziland","X1971",10.458
"3127","Sint Maarten (Dutch part)","X1971",100
"3128","Seychelles","X1971",40.337
"3129","Syrian Arab Republic","X1971",43.751
"3130","Turks and Caicos Islands","X1971",51.487
"3131","Chad","X1971",12.313
"3132","East Asia & Pacific (IDA & IBRD countries)","X1971",18.33750131
"3133","Europe & Central Asia (IDA & IBRD countries)","X1971",52.8176481
"3134","Togo","X1971",21.602
"3135","Thailand","X1971",21.442
"3136","Tajikistan","X1971",36.607
"3137","Turkmenistan","X1971",47.735
"3138","Latin America & the Caribbean (IDA & IBRD countries)","X1971",57.68132896
"3139","Middle East & North Africa (IDA & IBRD countries)","X1971",41.59745153
"3140","Timor-Leste","X1971",13.213
"3141","Tonga","X1971",20.217
"3142","South Asia (IDA & IBRD)","X1971",18.9043813
"3143","Sub-Saharan Africa (IDA & IBRD countries)","X1971",18.42851834
"3144","Trinidad and Tobago","X1971",11.774
"3145","Tunisia","X1971",44.305
"3146","Turkey","X1971",38.945
"3147","Tuvalu","X1971",22.786
"3148","Tanzania","X1971",8.431
"3149","Uganda","X1971",6.737
"3150","Ukraine","X1971",55.552
"3151","Upper middle income","X1971",31.60017397
"3152","Uruguay","X1971",82.57
"3153","United States","X1971",73.613
"3154","Uzbekistan","X1971",37.184
"3155","St. Vincent and the Grenadines","X1971",31.182
"3156","Venezuela, RB","X1971",72.764
"3157","British Virgin Islands","X1971",17.174
"3158","Virgin Islands (U.S.)","X1971",70.779
"3159","Vietnam","X1971",18.396
"3160","Vanuatu","X1971",12.533
"3161","West Bank and Gaza","X1971",NA
"3162","World","X1971",36.71346018
"3163","Samoa","X1971",20.611
"3164","Yemen, Rep.","X1971",13.598
"3165","South Africa","X1971",47.869
"3166","Congo, Dem. Rep.","X1971",24.847
"3167","Zambia","X1971",31.241
"3168","Zimbabwe","X1971",17.855
"3169","Aruba","X1972",50.593
"3170","Andorra","X1972",83.301
"3171","Afghanistan","X1972",12.316
"3172","Angola","X1972",15.875
"3173","Albania","X1972",32.127
"3174","Arab World","X1972",40.2292522
"3175","United Arab Emirates","X1972",79.8
"3176","Argentina","X1972",79.743
"3177","Armenia","X1972",61.445
"3178","American Samoa","X1972",71.182
"3179","Antigua and Barbuda","X1972",33.978
"3180","Australia","X1972",85.681
"3181","Austria","X1972",65.311
"3182","Azerbaijan","X1972",50.917
"3183","Burundi","X1972",3.101
"3184","Belgium","X1972",94.106
"3185","Benin","X1972",18.648
"3186","Burkina Faso","X1972",5.98
"3187","Bangladesh","X1972",8.221
"3188","Bulgaria","X1972",54.419
"3189","Bahrain","X1972",84.265
"3190","Bahamas, The","X1972",68.088
"3191","Bosnia and Herzegovina","X1972",28.875
"3192","Belarus","X1972",46.697
"3193","Belize","X1972",50.646
"3194","Bermuda","X1972",100
"3195","Bolivia","X1972",40.389
"3196","Brazil","X1972",57.879
"3197","Barbados","X1972",37.971
"3198","Brunei Darussalam","X1972",63.234
"3199","Bhutan","X1972",6.754
"3200","Botswana","X1972",9.695
"3201","Central African Republic","X1972",29.238
"3202","Canada","X1972",75.971
"3203","Central Europe and the Baltics","X1972",52.16210594
"3204","Switzerland","X1972",57.54
"3205","Channel Islands","X1972",35.394
"3206","Chile","X1972",76.528
"3207","China","X1972",17.184
"3208","Cote d'Ivoire","X1972",29.719
"3209","Cameroon","X1972",22.927
"3210","Congo, Rep.","X1972",40.715
"3211","Colombia","X1972",56.327
"3212","Comoros","X1972",20.115
"3213","Cabo Verde","X1972",20.272
"3214","Costa Rica","X1972",40.068
"3215","Caribbean small states","X1972",34.87683122
"3216","Cuba","X1972",61.8
"3217","Curacao","X1972",79.146
"3218","Cayman Islands","X1972",100
"3219","Cyprus","X1972",41.807
"3220","Czech Republic","X1972",66.484
"3221","Germany","X1972",72.389
"3222","Djibouti","X1972",63.968
"3223","Dominica","X1972",40.264
"3224","Denmark","X1972",80.731
"3225","Dominican Republic","X1972",42.382
"3226","Algeria","X1972",39.831
"3227","East Asia & Pacific (excluding high income)","X1972",18.86239954
"3228","Early-demographic dividend","X1972",27.16527057
"3229","East Asia & Pacific","X1972",25.01952856
"3230","Europe & Central Asia (excluding high income)","X1972",53.63750923
"3231","Europe & Central Asia","X1972",61.70943937
"3232","Ecuador","X1972",40.352
"3233","Egypt, Arab Rep.","X1972",42.2
"3234","Euro area","X1972",67.86781189
"3235","Eritrea","X1972",12.932
"3236","Spain","X1972",67.541
"3237","Estonia","X1972",66.017
"3238","Ethiopia","X1972",8.928
"3239","European Union","X1972",66.42947604
"3240","Fragile and conflict affected situations","X1972",24.38519819
"3241","Finland","X1972",65.366
"3242","Fiji","X1972",35.538
"3243","France","X1972",71.86
"3244","Faroe Islands","X1972",28.888
"3245","Micronesia, Fed. Sts.","X1972",25.33
"3246","Gabon","X1972",36.231
"3247","United Kingdom","X1972",77.195
"3248","Georgia","X1972",48.942
"3249","Ghana","X1972",29.392
"3250","Gibraltar","X1972",100
"3251","Guinea","X1972",17.327
"3252","Gambia, The","X1972",21.814
"3253","Guinea-Bissau","X1972",15.455
"3254","Equatorial Guinea","X1972",27.136
"3255","Greece","X1972",65.454
"3256","Grenada","X1972",32.353
"3257","Greenland","X1972",73.675
"3258","Guatemala","X1972",36.177
"3259","Guam","X1972",71.999
"3260","Guyana","X1972",29.641
"3261","High income","X1972",69.6931985
"3262","Hong Kong SAR, China","X1972",88.474
"3263","Honduras","X1972",30.246
"3264","Heavily indebted poor countries (HIPC)","X1972",17.13001027
"3265","Croatia","X1972",42.206
"3266","Haiti","X1972",20.323
"3267","Hungary","X1972",60.965
"3268","IBRD only","X1972",30.09868749
"3269","IDA & IBRD total","X1972",27.77110928
"3270","IDA total","X1972",17.94438594
"3271","IDA blend","X1972",22.72488711
"3272","Indonesia","X1972",17.779
"3273","IDA only","X1972",15.02101612
"3274","Isle of Man","X1972",54.77
"3275","India","X1972",20.321
"3276","Not classified","X1972",NA
"3277","Ireland","X1972",52.611
"3278","Iran, Islamic Rep.","X1972",43.014
"3279","Iraq","X1972",58.269
"3280","Iceland","X1972",85.63
"3281","Israel","X1972",85.351
"3282","Italy","X1972",65.039
"3283","Jamaica","X1972",42.395
"3284","Jordan","X1972",56.645
"3285","Japan","X1972",73.452
"3286","Kazakhstan","X1972",51.269
"3287","Kenya","X1972",11.282
"3288","Kyrgyz Republic","X1972",37.753
"3289","Cambodia","X1972",21.818
"3290","Kiribati","X1972",26.654
"3291","St. Kitts and Nevis","X1972",34.495
"3292","Korea, Rep.","X1972",43.692
"3293","Kosovo","X1972",NA
"3294","Kuwait","X1972",87.192
"3295","Latin America & Caribbean (excluding high income)","X1972",55.74981343
"3296","Lao PDR","X1972",10.295
"3297","Lebanon","X1972",62.58
"3298","Liberia","X1972",27.713
"3299","Libya","X1972",56.292
"3300","St. Lucia","X1972",24.419
"3301","Latin America & Caribbean","X1972",58.54881461
"3302","Least developed countries: UN classification","X1972",13.6655152
"3303","Low income","X1972",16.26776808
"3304","Liechtenstein","X1972",18.354
"3305","Sri Lanka","X1972",19.915
"3306","Lower middle income","X1972",23.15888606
"3307","Low & middle income","X1972",27.05905161
"3308","Lesotho","X1972",9.474
"3309","Late-demographic dividend","X1972",29.61103936
"3310","Lithuania","X1972",51.968
"3311","Luxembourg","X1972",75.528
"3312","Latvia","X1972",62.122
"3313","Macao SAR, China","X1972",97.397
"3314","St. Martin (French part)","X1972",NA
"3315","Morocco","X1972",35.675
"3316","Monaco","X1972",100
"3317","Moldova","X1972",33.701
"3318","Madagascar","X1972",14.964
"3319","Maldives","X1972",13.858
"3320","Middle East & North Africa","X1972",44.15299235
"3321","Mexico","X1972",60.532
"3322","Marshall Islands","X1972",58.685
"3323","Middle income","X1972",27.87061329
"3324","Macedonia, FYR","X1972",48.827
"3325","Mali","X1972",15.072
"3326","Malta","X1972",89.716
"3327","Myanmar","X1972",23.606
"3328","Middle East & North Africa (excluding high income)","X1972",42.2673626
"3329","Montenegro","X1972",28.706
"3330","Mongolia","X1972",46.491
"3331","Northern Mariana Islands","X1972",75.021
"3332","Mozambique","X1972",7.864
"3333","Mauritania","X1972",16.773
"3334","Mauritius","X1972",44.1
"3335","Malawi","X1972",6.651
"3336","Malaysia","X1972",35.104
"3337","North America","X1972",73.85180832
"3338","Namibia","X1972",22.829
"3339","New Caledonia","X1972",52.811
"3340","Niger","X1972",9.772
"3341","Nigeria","X1972",18.549
"3342","Nicaragua","X1972",48.017
"3343","Netherlands","X1972",62.232
"3344","Norway","X1972",66.725
"3345","Nepal","X1972",4.198
"3346","Nauru","X1972",100
"3347","New Zealand","X1972",81.819
"3348","OECD members","X1972",68.1938374
"3349","Oman","X1972",32.958
"3350","Other small states","X1972",33.69725315
"3351","Pakistan","X1972",25.353
"3352","Panama","X1972",48.199
"3353","Peru","X1972",59.547
"3354","Philippines","X1972",34.012
"3355","Palau","X1972",60.287
"3356","Papua New Guinea","X1972",11.3
"3357","Poland","X1972",53.324
"3358","Pre-demographic dividend","X1972",18.50138443
"3359","Puerto Rico","X1972",60.127
"3360","Korea, Dem. People‰Ûªs Rep.","X1972",55.204
"3361","Portugal","X1972",39.591
"3362","Paraguay","X1972",37.396
"3363","Pacific island small states","X1972",27.14579581
"3364","Post-demographic dividend","X1972",69.22036921
"3365","French Polynesia","X1972",56.718
"3366","Qatar","X1972",88.678
"3367","Romania","X1972",41.319
"3368","Russian Federation","X1972",64.078
"3369","Rwanda","X1972",3.491
"3370","South Asia","X1972",19.22960075
"3371","Saudi Arabia","X1972",52.707
"3372","Sudan","X1972",17.941
"3373","Senegal","X1972",31.451
"3374","Singapore","X1972",100
"3375","Solomon Islands","X1972",8.999
"3376","Sierra Leone","X1972",25.522
"3377","El Salvador","X1972",40.003
"3378","San Marino","X1972",64.703
"3379","Somalia","X1972",23.835
"3380","Serbia","X1972",NA
"3381","Sub-Saharan Africa (excluding high income)","X1972",18.83489712
"3382","South Sudan","X1972",8.61
"3383","Sub-Saharan Africa","X1972",18.8390845
"3384","Small states","X1972",33.58531679
"3385","Sao Tome and Principe","X1972",30.561
"3386","Suriname","X1972",46.76
"3387","Slovak Republic","X1972",43.064
"3388","Slovenia","X1972",39.058
"3389","Sweden","X1972",81.886
"3390","Swaziland","X1972",11.264
"3391","Sint Maarten (Dutch part)","X1972",100
"3392","Seychelles","X1972",41.802
"3393","Syrian Arab Republic","X1972",44.078
"3394","Turks and Caicos Islands","X1972",51.882
"3395","Chad","X1972",13.1
